run_id,model_class_x,subsidy,dynamic_policy_x,time_to_50,peak_velocity,tipping_occurred
R3_STAT_1000.0_False_barabasi_albert_44,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_45,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_46,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_47,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_48,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_49,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_50,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_barabasi_albert_51,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_42,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_43,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_44,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_45,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_46,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_47,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_48,STATIC_BASELINE,1000.0,False,25,5,0
R3_STAT_1000.0_False_watts_strogatz_49,STATIC_BASELINE,1000.0,False,25,5,0
